GB Experimento Ambiente Tempo
10 23 kvm_1 105.224
10 24 kvm_1 111.877
10 25 kvm_1 106.471
10 26 kvm_1 110.048
10 27 kvm_1 108.829
10 28 kvm_1 105.32
10 29 kvm_1 111.705
10 30 kvm_1 106.95
1 1 nativo 12.8794
1 2 nativo 14.0304
1 3 nativo 13.273
1 4 nativo 14.2091
1 5 nativo 13.9911
1 6 nativo 14.1477
1 7 nativo 13.982
1 8 nativo 13.5865
1 9 nativo 13.593
1 10 nativo 14.4538
1 11 nativo 14.1405
1 12 nativo 13.4246
1 13 nativo 14.2971
1 14 nativo 13.9364
1 15 nativo 13.2232
1 16 nativo 14.1651
1 17 nativo 13.3559
1 18 nativo 13.2341
1 19 nativo 13.5492
1 20 nativo 14.2594
1 21 nativo 14.42
1 22 nativo 14.3071
1 23 nativo 13.4796
1 24 nativo 14.4094
1 25 nativo 14.0352
1 26 nativo 14.3727
1 27 nativo 14.1696
1 28 nativo 13.992
1 29 nativo 14.1237
1 30 nativo 13.698
10 1 nativo 138.963
10 2 nativo 135.89
10 3 nativo 140.816
10 4 nativo 142.499
10 5 nativo 139.23
10 6 nativo 142.854
10 7 nativo 143.27
10 8 nativo 146.189
10 9 nativo 143.624
10 10 nativo 147.263
10 11 nativo 151.423
10 12 nativo 133.269
10 13 nativo 122.558
10 14 nativo 125.728
10 15 nativo 123.064
10 16 nativo 125.022
10 17 nativo 126.194
10 18 nativo 124.579
10 19 nativo 126.939
10 20 nativo 122.29
10 21 nativo 125.404
10 22 nativo 127.677
10 23 nativo 125.801
10 24 nativo 126.082
10 25 nativo 124.739
10 26 nativo 129.83
10 27 nativo 128.638
10 28 nativo 129.786
10 29 nativo 129.794
10 30 nativo 130.793
1 1 xen_1 28.287
1 2 xen_1 28.7971
1 3 xen_1 19.2238
1 4 xen_1 18.637
1 5 xen_1 29.121
1 6 xen_1 19.0141
1 7 xen_1 18.9491
1 8 xen_1 18.8467
1 9 xen_1 18.8081
1 10 xen_1 18.8226
1 11 xen_1 18.6997
1 12 xen_1 19.1604
1 13 xen_1 18.5676
1 14 xen_1 18.6368
1 15 xen_1 18.618
1 16 xen_1 18.771
1 17 xen_1 18.4591
1 18 xen_1 18.6028
1 19 xen_1 18.8929
1 20 xen_1 18.4632
1 21 xen_1 18.5404
1 22 xen_1 18.4627
1 23 xen_1 18.34
1 24 xen_1 18.5413
1 25 xen_1 18.5593
1 26 xen_1 18.496
1 27 xen_1 18.4045
1 28 xen_1 18.6616
1 29 xen_1 18.5577
1 30 xen_1 18.6026
10 1 xen_1 251.192
10 2 xen_1 234.115
10 3 xen_1 181.715
10 4 xen_1 182.913
10 5 xen_1 182.567
10 6 xen_1 182.702
10 7 xen_1 182.238
10 8 xen_1 183.347
10 9 xen_1 184.259
10 10 xen_1 183.406
10 11 xen_1 183.436
10 12 xen_1 183.703
10 13 xen_1 182.458
10 14 xen_1 183.82
10 15 xen_1 184.16
10 16 xen_1 183.835
10 17 xen_1 184.762
10 18 xen_1 184.367
10 19 xen_1 184.634
10 20 xen_1 184.036
10 21 xen_1 184.596
10 22 xen_1 183.876
10 23 xen_1 184.233
10 24 xen_1 184.665
10 25 xen_1 184.037
10 26 xen_1 185.128
10 27 xen_1 182.672
10 28 xen_1 181.053
10 29 xen_1 183.62
10 30 xen_1 181.868
